Headline;Month;Day
Facebook Job Ads Raise Concerns About Age Discrimination;12;20
What the Tax Bill Fails to Address: Technology’s Tsunami;12;20
The Tax Bill’s Winners and Losers;12;16
The Biggest Tech Failures and Successes of 2017;12;13
How 2017 Became a Turning Point for Tech Giants;12;13
Net Neutrality Protests Move Online, Yet Big Tech Is Quiet;12;12
Stop the Manipulation of Democracy Online;12;11
Choosing a Payment Option for Google Play;11;23
Farhad and Mike’s Week in Tech: The Big Bitcoin Boom;12;8
The Return of the Techno-Moral Panic;12;5
Farhad and Mike’s Week in Tech: Sex Scandals and Silicon Valley;12;1
The Case for Removing Extremist Videos From the Internet;11;30
Vietnam Wants to Control Social Media? Too Late.;11;30
Andy Rubin, Android Creator, Steps Away From Firm Amid Misconduct Report;11;29
Judge Tells Uber Lawyer: ‘It Looks Like You Covered This Up’;11;30
The Best Ways to Share Your Smartphone Photos This Holiday;11;29
Rebuking Uber Lawyers, Judge Delays Trade Secrets Trial;11;28
A New Way for Machines to See, Taking Shape in Toronto;11;28
Waymo Seeks Delay in Court Fight With Uber Over Trade Secrets;11;28
Meredith’s Persistence Pays Off for Time Inc. Shareholders;11;27
Missouri Opens Antitrust Investigation Into Google;11;13
Grab Copies of Google Emails, Photos and Files;11;9
When Dinosaurs Roam in Chrome;11;14
She Warned of ‘Peer-to-Peer Misinformation.’ Congress Listened.;11;12
Review: Two Contrasting Views of Silicon Valley’s Influence;11;10
How Corporations and the Wealthy Avoid Taxes (and How to Stop Them);11;10
Google Docs Glitch That Locked Out Users Underscores Privacy Concerns;10;31
Waymo’s Autonomous Cars Cut Out Human Drivers in Road Tests;11;7
Sam Hyde and Other Hoaxes: False Information Trails Texas Shooting;11;6
Building A.I. That Can Build A.I.;11;5
How Google’s Physical Keys Will Protect Your Password;10;25
In Reversal, Tech Companies Back Sex Trafficking Bill;11;3
Cisco and Google Find Mutual Interest in Cloud Computing;10;25
Facebook Says It’s Policing Fake Accounts. But They’re Still Easy to Spot.;11;3
Making YouTube Safer for Children;11;3
How Silicon Valley Plans to Conquer the Classroom;11;3
Russia Investigation Has Tech Giants Shying From ‘Social’ Label;11;2
Russia-Financed Ad Linked Clinton and Satan;11;1
House Intelligence Committee Releases Incendiary Russian Social Media Ads;11;1
The Upside of Being Ruled by the Five Tech Giants;11;1
Russia Inquiry Fails to Unite a Nation;11;1
Tech Executives Are Contrite About Election Meddling, but Make Few Promises on Capitol Hill;10;31
How to Report When the Science Is Sketchy;10;31
Russian Influence Reached 126 Million Through Facebook Alone;10;30
Tech Companies Face Congress, Fed News and Jobs Numbers;10;30
Mark Warner: Tech Millionaire Who Became Tech’s Critic in Congress;10;29
Meet the People Who Will Defend Google, Facebook and Twitter Before Lawmakers;10;20
What Worries? Big Tech Companies Post Glowing Quarterly Profits;10;26
Google’s Pixel 2 Smartphone Is a Powerful Extravagance;10;17
Scanning, Converting and Editing Text on the Go;10;26
Google Maps Pulls Calorie-Counting Feature After Criticism;10;17
Can Washington Stop Big Tech Companies? Don’t Bet on It;10;25
Google Serves Fake News Ads in an Unlikely Place: Fact-Checking Sites;10;17
Google’s Founders Wanted to Shape a City. Toronto Is Their Chance.;10;18
Tech Giants Are Paying Huge Salaries for Scarce A.I. Talent;10;22
Google Unveils Job Training Initiative With $1 Billion Pledge;10;12
Taking Your iTunes Library to Android;10;20
Farhad and Mike’s Week in Tech: Regulation Is Looming;10;20
Google Buying Apple? Sorry, That Was Just a Test;10;10
Hundreds of Mysterious Stone ‘Gates’ Found in Saudi Arabia’s Desert;10;19
Senators Demand Online Ad Disclosures as Tech Lobby Mobilizes;10;19
Google Finds Accounts Connected to Russia Bought Election Ads;10;9
How the Frightful Five Put Start-Ups in a Lose-Lose Situation;10;18
In Italian Schools, Reading, Writing and Recognizing Fake News;10;18
As the World Tweets, Social Media Chiefs Remain Tight-Lipped;10;15
Google’s New Gadgets Come With a Big Helping of A.I.;10;4
Silicon Valley Is Not Your Friend;10;13
Tech Giants, Once Seen as Saviors, Are Now Viewed as Threats;10;12
Have a Group Chat on an iPad;10;12
The Frightful Five Want to Rule Entertainment. They Are Hitting Limits.;10;11
Google Updates Policy on News Pay Walls. ‘First Click Free’ to End.;10;2
Google Prepares to Brief Congress on Its Role in Election;9;30
Who Invented ‘Zero’?;10;7
Co-Parenting With Alexa;10;7
Google Offers Concessions to Europe After Record Antitrust Fine;9;27
As Google Fights Fake News, Voices on the Margins Raise Alarm;9;26
Change the Key That Unlocks Your Accounts;10;6
Farhad and Mike’s Week in Tech: More Uber Drama, and Few Answers From Facebook;10;6
Google Acts to End One Fight in Europe as Bigger Antitrust Battle Looms;9;28
The End of Privacy;10;5
Keeping Your Reading List in Sync;10;4
What if Platforms Like Facebook Are Too Big to Regulate?;10;4
Industry Under Pressure Gathers for Ad Week and a Deadline for Google;9;25
After Las Vegas Shooting, Fake News Regains Its Megaphone;10;2
Move Your Mailbox to Another App;10;2
Labor Case Before Supreme Court and Jobs Numbers for September;10;2
Retiring the Google Drive Desktop App;9;21
Google Is Buying HTC’s Smartphone Expertise for $1.1 Billion;9;21
Morning Agenda: Google Gets Serious About Producing Better Phones;9;21
Can You Run Android on an iPad?;9;27
Tech Firms Add $300 Million to Trump Administration’s Computer Science Push;9;26
Google Sets Limits on Addiction Treatment Ads, Citing Safety;9;15
Farhad’s and Mike’s Week in Tech: A Very Bad Week for Digital Giants;9;22
World Leaders Urge Big Tech to Police Terrorist Content;9;22
Google and Facebook Face Criticism for Ads Targeting Racist Sentiments;9;15
Internet Giants Face New Political Resistance in Washington;9;20
Google Sued by 3 Female Ex-Employees Who Say It Pays Women Less Than Men;9;14
Google and Sex Traffickers Like Backpage.com;9;7
At Google, Employee-Led Effort Finds Men Are Paid More Than Women;9;8
Ellen Pao: Has Anything Really Changed for Women in Tech?;9;16
Chips Off the Old Block: Computers Are Taking Design Cues From Human Brains;9;16
New America, a Google-Funded Think Tank, Faces Backlash for Firing a Google Critic;9;1
Google’s Disturbing Influence Over Think Tanks;8;30
How Apps Can Make Your Vacation Better;9;12
Google Critic Ousted From Think Tank Funded by the Tech Giant;8;30
Google and Walmart Partner With Eye on Amazon;8;23
In Her Family’s Footsteps, a Reporter Takes to the Classroom;9;3
Silicon Valley Courts Brand-Name Teachers, Raising Ethics Issues;9;2
Go Bold (or Italics) With Gmail Formatting Options;8;29
Google Doesn’t Want What’s Best for Us;8;12
Sundar Pichai Should Resign as Google’s C.E.O.;8;11
Farhad and Mike’s Week in Review: Apple’s Self-Driving Shift;8;25
A Crisis Forces Google to Uphold Its Values While Fostering Debate;8;12
Google’s War Over the Sexes;8;9
Mike’s and Katie’s Week in Tech: Uber Infighting and the Google Memo;8;12
On Croatia’s Coast, Uber Takes Its Ride-Hailing App to the Seas;8;25
Google Cancels Employee Meeting Because of Harassment Fears;8;11
Contentious Memo Strikes Nerve Inside Google and Out;8;8
Answering Your Questions About the Controversial Google Memo;8;9
Google Fires Engineer Who Wrote Memo Questioning Women in Tech;8;8
Crowded TV Marketplace Gets Ready for Three Tech Giants;8;21
‘Thought Bullies’ or Right Move: A Divide Over James Damore Firing;8;11
Farhad’s and Mike’s Week in Tech: A Snap and Google Tie-Up?;8;5
Where Is the Line? Charlottesville Forces Media and Tech Companies to Decide;8;18
The Maddeningly Simple Way Tech Companies Can Employ More Women;8;15
How A.I. Is Creating Building Blocks to Reshape Music and Art;8;14
Packing Google Maps, but Not an Internet Connection;7;26
Google’s New Parental Control App Has a Flaw: Puberty;7;26
Teaching A.I. Systems to Behave Themselves;8;13
Tech’s Damaging Myth of the Loner Genius Nerd;8;12
Nsynth Sample;8;11
How to Watch a Solar Eclipse;8;11
The Alt-Right Finds a New Enemy in Silicon Valley;8;9
Converting Pictures Into Words You Can Process;8;9
The Culture Wars Have Come to Silicon Valley;8;8
How to Make Your House a Smart Home;8;8
Anita Hill: Class Actions Could Fight Discrimination in Tech;8;8
Google Wins Tax Case in France, Avoiding $1.3 Billion Bill;7;12
Switching Your Browser Loyalty;8;1
A Google Engineer Learns the Fashion Code;7;10
A New Way for Therapists to Get Inside Heads: Virtual Reality;7;30
Inside Yelp’s Six-Year Grudge Against Google;7;1
News Outlets to Seek Bargaining Rights Against Google and Facebook;7;9
How to Fix India’s Sex-Selection Problem;7;27
Google Will No Longer Scan Gmail for Ad Targeting;6;23
Daily Report: Alphabet Kicks Off Tech Earnings Season;7;25
Google Fined Record $2.7 Billion in E.U. Antitrust Ruling;6;27
Google Said to Face $1.2 Billion Antitrust Fine, but Battle With Europe Looms;6;26
Making Google the Censor;6;12
Farhad and Mike’s Week in Tech: Meal Kits, Lyft and ‘Despacito’;7;22
Pittsburgh Gets a Tech Makeover;7;22
My Doppelgänger on Google;12;26
Preparing for the Jump to a New Operating System;7;21
Google Said to Be Facing Record E.U. Fine by End of August;6;16
Finding the Date on a Map Image;7;20
Shopping for New Software;7;19
At School With Google;5;13
Planning a Trip With the Help of Google Home;5;31
How to Use Google Image Search on the Go;6;12
Getting Google Cards to Load Again;5;15
How Google Took Over the Classroom;5;13
Google Wants to Be Everywhere With Everyone;5;18
No, Google’s Not a Bird: Bringing the Internet to Rural India;5;21
Burger King ‘O.K. Google’ Ad Doesn’t Seem O.K. With Google;4;12
Google’s A.I. Program Rattles Chinese Go Master as It Wins Match;5;25
Stopping Video Autoplay on Google Chrome;3;20
The Best Google Assistant–Compatible Smart-Home Devices for Google Home;11;29
Is It Time to Break Up Google?;4;22
Questions for: ‘How Google Took Over the Classroom’;5;16
Google’s AlphaGo Defeats Chinese Go Master in Win for A.I.;5;23
