Headline;Month;Day
Procter & Gamble and Peltz Spar Over Who Won: DealBook Briefing;10;11
DealBook Briefing: Peltz Gets His Seat on Procter & Gamble’s Board;12;15
Why Nelson Peltz Wants P.&G. to See Him as a ‘Constructivist’;7;18
Welcome to Manhood, Gillette Told the 50-Year-Old Woman;7;16
At Cannes, the Great Gusher of Content Comes With Warning Signs;6;26
Ex-Walgreens Chief Starts Venture to Commercialize New Technologies;4;21
What Nelson Peltz Is Up To With His $3.5 Billion Stake in P.&G.;2;16
Movers: Tax Cuts, Twitter and a Pokémon Bounce;4;26
Facebook Takes Steps to Improve Advertising Data After Criticism;2;10
He Buys a Lot of Ads, and He’s Frustrated With Digital;4;9
Morning Agenda: Nelson Peltz, Activist or Constructivist?;7;18
Quotation of the Day: Brands Wrestle With Whiplash Of Viral Anger;4;7
150 Executives Commit to Fostering Diversity and Inclusion;6;12
From Pantene to Polo: The New Man at Ralph Lauren;5;18
Former Employee Testifies Shkreli Threatened Him and His Family;7;19
DealBook Briefing: Nelson Peltz’s Trian Pushes Back as P.&G. Reviews Vote;11;22
Morning Agenda: Question Mark for Fed’s Top Spot;9;7
Avon Chief Executive to Resign in Latest Win for Activist Investors;8;3
Marc Dickstein, Mark Dato;12;10
Peltz May Have Won After All: DealBook Briefing;11;15
DowDuPont Revises Breakup Plan Opposed by Activist Investors;9;12
Campbell Bid for Snyder’s Deserves Activist Gate Crashers;12;19
Nestlé Can Head Off a Fight With Dan Loeb;10;3
How N.F.L. Sponsors Have Reacted to ‘Take a Knee’ Protests;9;27
How Kraft Heinz Can Get a Deal Done for Unilever;2;17
In Advertising Paradise, Reality Is Just a Conversation Away;6;26
Snap Inc. Amends Compensation Filing of Its Lone Female Director;2;9
ADP Says Activist Investor William Ackman Seeks a Shake-Up;8;4
Starboard Value Hedge Fund Wants to Force ComScore to Hold an Annual Meeting;7;25
Bill Ackman’s Battle With ADP Is a Litmus Test for Activist Investing;11;3
Amid Venezuela Protests, G.M. Plant Is Seized, and Company Exits;4;20
E!, Red Carpet Mainstay, Buys the People’s Choice Awards;4;6
Akzo Nobel Ends Feud With Elliott Management;8;16
Huntsman and Clariant Halt Chemicals Merger, Citing Investor Revolt;10;27
The Electric Future, Waymo Documents, Uber: DealBook Briefing;10;3
Advertising Giant WPP Lowers Forecast as Clients Cut Back;8;24
Meg Whitman to Step Down as Hewlett Packard Enterprise C.E.O.;11;21
Third Point, a Hedge Fund, Sets Its Activist Sights on Nestlé;6;25
Exxon Mobil Lends Its Support to a Carbon Tax Proposal;6;20
With Government in Retreat, Companies Step Up on Emissions;4;25
Morning Agenda: Third Point Sets Sights on Nestlé;6;26
Are You Not Washing Your Hair Enough?;1;10
Ackman Is Defeated in Activist Bid to Jolt ADP Board;11;7
Period Activists Want Tampon Makers to Disclose Ingredients;5;24
YouTube Advertiser Exodus Highlights Perils of Online Ads;3;24
Morning Agenda: Starboard Picks Its Next Target, ComScore;7;26
Coal Country’s Power Plants Are Turning Away From Coal;5;26
Profitable Companies, No Taxes: Here’s How They Did It;3;9
Political Winds Leave New Jersey Lawmaker Caught Between Party and Home;5;29
American Express C.E.O. Ken Chenault to Step Down;10;18
Chip Bergh on Setting a High Bar and Holding People Accountable;6;9
‘Brexit,’ Migrants, Tour de France: Your Tuesday Briefing;7;18
Successful Career Women Finish the Phrase ‘If Only …’;10;10
John McCain, North Korea, Russia: Your Tuesday Briefing;7;17
Corker Takes On Trump, Hedge Funds Lose on Puerto Rico: DealBook Briefing;10;9
Ralph Lauren Is Still Behind the Wheel;9;9
Leave the Bucket Lists to Those Ambitious Boomers. It’s Tee Time.;12;9
The Mind-Boggling Ascent of Amazon and Jeff Bezos;7;28
A Victory for Trump Is a Victory for Big-Name Traders;2;15
Google Training Ad Placement Computers to Be Offended;4;3
Markets Are Coping (for Now) With Blows to Unity in Europe;1;13
Pizza Is Partisan, and Advertisers Are Still Adjusting;11;19
Kraft Heinz Offers to Buy Unilever in $143 Billion Deal;2;17
By Announcing New Jobs, Corporations Help Themselves Too;1;17
Mellody Hobson Says the Time for Corporate Diversity Is Now;11;14
Apple Is the Most Valuable Public Company Ever. But How Much of a Record Is That?;12;21
For Luxury Brands, the Musical Chairs Whirled Faster in 2017 ;12;28
As Anger at O’Reilly Builds, Activists Use Social Media to Prod Advertisers;4;7
The E.P.A. Move’s Winners and Losers: DealBook Briefing;10;10
Dyson Is the Apple of Appliances (and Just as Secretive);4;2
For the First Family of Pleasure Products, Toys Are Us;11;18
Morning Agenda: Google Gets Serious About Producing Better Phones;9;21
Daniel Yankelovich, Master of Public Opinion Research, Dies at 92;9;22
The Growing Costs of Netflix’s Dominance: DealBook Briefing;10;17
Starbucks, Exxon, Apple: Companies Challenging (or Silent on) Trump’s Immigration Ban;1;31
The Decline of the Baronial C.E.O.;6;17
The Doyenne of DNA Says: Just Chillax With Your Ex;11;18
James Staley’s Series of Unfortunate Events;8;26
The Highest-Paid C.E.O.s in 2016;5;26
Corrections: July 19, 2017;7;19
