Headline;Month;Day
Kraft Heinz, the U.S. Budget, and Big Stock Losses Feature in Warren Buffett’s Letter;2;23
Big Investors Shed Tech Stocks as Markets Tumbled Last Quarter;2;15
Kraft Tests How Much Costs Can Be Cut as Tastes Change;2;23
The Week in Business: Amazon Breaks Up With New York, and Warren Buffett Takes Stock;2;16
Homes That Sold for Around $1.5 Million;12;15
They’d Climb the Highest Mountain, but Not Necessarily for Each Other;8;10
Patrick Byrne, Overstock C.E.O., Resigns After Disclosing Romance With Russian Agent;8;22
Anadarko Says It Now Favors Occidental Bid Over Chevron;5;6
A Message From the Billionaire’s Club: Tax Us;6;24
Kraft Heinz Stock Plunges as Tastes Change and S.E.C. Investigation Begins;2;22
Biggest Public Company? Microsoft. Wait, Apple Again. Amazon? No, Back to Microsoft.;2;5
Homes That Sold for Around $450,000;4;7
Homes That Sold for Around $450,000;1;27
Homes That Sold for Around $750,000;1;13
Homes That Sold for Around $1 Million;6;30
Homes That Sold for Around $750,000;12;29
Homes That Sold for Around $600,000;9;23
Homes That Sold for Around $450,000;5;12
Homes That Sold for Around $600,000;7;14
Homes That Sold for Around $1,000,000;3;17
Homes That Sold for Around $600,000;10;27
Homes That Sold for Around $800,000;3;24
Homes That Sold for Around $1,000,000;2;10
Homes That Sold for Around $750,000;10;20
Homes That Sold for Around $750,000;6;2
Homes That Sold for Around $600,000;12;1
Homes That Sold for Around $1.5 Million;7;28
Homes That Sold for Around $750,000;4;28
$5.5 Million Homes in New York, Illinois and Missouri;7;3
DealBook Briefing: Trump Plays Chicken With China on Trade;5;6
Steve Burke, the Head of NBCUniversal, Plans to Step Down Next Year;12;13
$250,000 Homes in Maryland, Virginia and Ohio;3;20
Is the Hudson Valley Turning Into the Hamptons?;4;12
The Week in Business: Farmers Get a Bailout, and Trump Heads to Japan;5;25
DealBook Briefing: How to Really Tax the Rich;2;25
DealBook Briefing: Tesla Is Raising Cash. It May Not Be Enough.;5;3
California Mayors Back Plan to Make PG&E a Cooperative;11;5
PG&E Reaches $13.5 Billion Deal With Wildfire Victims;12;7
Google to Store and Analyze Millions of Health Records;11;12
DealBook Briefing: How Deutsche Bank Dealt With Demands for Trump Records;5;1
$2.8 Million Homes in Connecticut, California and South Carolina;3;13
Down by the Bay, in Brooklyn;3;28
DealBook Briefing: Is a $5 Billion Facebook Fine Enough?;4;25
DealBook Briefing: Could Trump Cave Too Easily on a China Trade Deal?;2;21
Occidental Petroleum Emerges With the Prize in a Takeover Fight;5;9
$850,000 Homes in Rhode Island, Nebraska and Alabama;2;13
Fear Has Yet to Be Extinguished After Chemical Fire in France;11;16
$600,000 Homes in New York, Washington and Connecticut;9;4
World’s Biggest Investor Tells C.E.O.s Purpose Is the ‘Animating Force’ for Profits ;1;17
$650,000 Homes in Texas, Oregon and Connecticut;11;6
$1.7 Million Homes in California, Tennessee and Pennsylvania;5;15
$1.6 Million Homes in California, Colorado and New Jersey;9;11
Sorokin, Who Swindled N.Y.’s Elite, Is Sentenced to 4 to 12 Years in Prison;5;9
E.T.F. Investors Are Going for Gold, Despite Many Drawbacks;10;11
$1.4 Million Homes in Washington, Illinois and New York;4;24
PG&E Bankruptcy Could Deal Blow to Its Solar-Power Suppliers’ Finances;1;17
Why San Jose’s Mayor Wants Customers to Own PG&E;10;28
Anxious Biden Allies May Unleash Super PAC;9;26
No Line to Board Private Jets, but There Is a Line to Buy Them;12;27
$1.6 Million Homes in North Carolina, Illinois and Washington;10;23
Want a Rolex or a Patek? Rent It;3;20
DealBook Briefing: Global Economic Woes Shake the Markets;8;15
Tax the Rich? Here’s How to Do It (Sensibly);2;25
$2.3 Million Homes in Pennsylvania, New Mexico and Illinois;12;4
Back-Country Greenwich, Conn.: Where Privacy Doesn’t Come Cheap;6;5
