Headline;Month;Day
The Week in Business: Walmart Takes a Stand on Gun Control, and Brexit Goes Off the Rails;9;8
Making Companies Act When Government Won’t;9;16
Walmart’s C.E.O. Steps Into the Gun Debate. Other C.E.O.s Should Follow.;9;3
Walmart to Limit Ammunition Sales and Discourage ‘Open Carry’ of Guns in Stores;9;3
Maybe We’re Not All Going to Be Gig Economy Workers After All;9;15
Retailers Walk Thin Line by Asking, Not Telling, Shoppers Not to Carry Guns;9;10
More Retail Chains Ask Customers Not to Carry Guns Openly;9;6
Walmart Says Tesla Solar Panels Set Fires Atop Stores;8;20
Walmart to Overhaul and Reopen El Paso Store Where 22 People Were Killed;8;23
Expressing Opinions;9;6
Debt-Free College is Closer Than You Think;8;30
Four Democratic Candidates Call on Walmart to Stop Selling Guns;8;9
Walmart Pulls Violent Video Game Signs;8;9
Scare at Missouri Walmart as Man With Rifle and Body Armor Is Detained;8;9
Armed Man Who Caused Panic at Missouri Walmart Said It Was 2nd Amendment Test, Authorities Say;8;10
Walmart Shooting in El Paso Renews Attention on Crime Frequency at Its Stores;8;6
DealBook Briefing: How Walmart Could Take a Stand on Guns;8;6
Shooting at Walmart in Mississippi Kills 2;7;30
At the Walmart in El Paso, Serving Shoppers Meant Saving Them;8;8
El Paso Reels After Walmart Shooting Leaves 20 Dead;8;3
Dear Walmart C.E.O.: You Have the Power to Curb Gun Violence. Do It.;8;5
Massacre at a Crowded Walmart in Texas Leaves 20 Dead;8;4
Walmart Store Connected Cultures, Until a Killer ‘Came Here for Us’;8;5
In Delaying Tariffs, Trump Faces Up to Economic Reality;8;14
‘I’m the Shooter’: El Paso Suspect Confessed to Targeting Mexicans, Police Say;8;9
What Experts Know About People Who Commit Mass Shootings;8;5
The Man Who’s Putting More Sex Toys on Walmart’s Shelves;7;3
El Paso Shooting Victims: Here Are Some of Their Stories;8;5
How Many Mass Shootings in 2019? Last Weekend Underscored the Violence;8;4
A ‘Sorceress’ in Brazil, a ‘Wink’ in India: Walmart Pleads Guilty After a Decade of Bribes;6;20
3,271 Pill Bottles, a Town of 2,831: Court Filings Say Corporations Fed Opioid Epidemic;7;19
The Best Walmart Deals for Cyber Monday;11;25
Walmart Raises Minimum Age to Buy Tobacco Products to 21;5;8
The Week in Business: Amazon Won’t Let the Robots Take Over;7;13
Walmart Vendor’s Employees Face F.B.I. Inquiry for Snooping on Retailer’s Internal Emails;3;9
Quotation of the Day: Sex Sells. Walmart Buys In.;7;5
DealBook Briefing: Walmart’s C.E.O. Sets an Example for Corporate America on Guns;9;4
The Best Anti Prime Day Deals at Best Buy, Walmart, and More;7;11
Hurricane Dorian, Walmart, Linda Hamilton: Your Tuesday Evening Briefing;9;3
The Week in Business: No More E-Cigarettes at Walmart, and an Attack on the World’s Oil Supply;9;22
Kudos to Walmart on Guns;9;4
Amazon Gives Up on Chinese Domestic Shopping Business;4;18
Amazon Users in India Will Get Less Choice and Pay More Under New Selling Rules;1;30
FedEx Says It’s Ending Express Shipping Service for Amazon;6;7
Capturing a Shooting Survivor’s Long Recovery, With Humanity;11;28
Families of El Paso Victims Waited in Anguish After Shooting;8;5
Mnuchin Presses Companies for Trade War Contingency Plans;5;22
A Stark Divide in America’s Retail Industry Is Coming Into Focus;3;6
Nothing Says Christmas Like … a KFC Fried-Chicken Fire?;12;6
Day at a Shopping Center in Texas Turns Deadly;8;3
An Empty Parking Lot, Filled by El Paso’s Grief;8;9
I Felt Safe in America. Until El Paso.;8;10
700,000 Rocking Baby Sleepers Are Recalled After 5 Infant Deaths;4;27
El Paso Shooting Suspect Indicted on Capital Murder Charge;9;12
Blue Bell Ice Cream Licker in Viral Video Is Found, Police Say;7;6
The Week in Business: Trump’s Money Man Talks, and a New Spacecraft Blasts Off;3;2
FedEx Ends Amazon’s U.S. Ground Deliveries as Retailer Rises as Rival;8;7
Morgan Fancher, Owen Morris;9;22
‘Catastrophic,’ ‘Cataclysmic’: Trump’s Tariff Threat Has Retailers Sounding Alarm;6;16
As Big Retailers Seek to Cut Their Tax Bills, Towns Bear the Brunt;1;6
F.B.I. Increases Reward in Series of Unsolved Church Arsons in El Paso;9;23
‘Cut the Wire,’ a Toy Bomb Game, Is Discontinued After Criticism;1;14
Trump Comes to Console. El Paso Says No Thanks.;8;8
Modern Black Friday Work Force: Postal Clerk, Influencer, Robot;11;28
How Does It Feel to Be Impeached? These Mayors Can Tell You All About It.;10;4
‘My World Has Now Stopped’: How One Family Is Recovering From a Mass Shooting;8;31
Prosecutors Re-examine Killing After Missouri Deputy Is Charged in Another Shooting;10;14
Amazon Prime Day Brings Sales, and Risks, for Retailers;7;15
