           Date        Open        High         Low       Close   Adj Close    Volume  Sentiment
0    2019-01-02  128.130005  128.380005  126.279999  127.750000  120.209579   7631700   0.000000
1    2019-01-03  128.139999  128.270004  125.360001  125.720001  118.299408   8654500   0.000000
2    2019-01-04  127.120003  128.649994  126.730003  127.830002  120.284859   8831700   0.000000
3    2019-01-07  127.629997  128.350006  126.800003  127.010002  119.513252   8404700   0.000000
4    2019-01-08  128.179993  130.500000  127.730003  129.960007  122.289139   9351600   0.000000
5    2019-01-09  129.830002  130.240005  128.330002  128.929993  121.319916   7403500   0.000000
6    2019-01-10  127.690002  129.889999  127.690002  129.710007  122.053894   6224400   0.000000
7    2019-01-11  129.000000  129.839996  128.309998  129.750000  122.091522   5300400   0.000000
8    2019-01-14  128.740005  128.960007  127.589996  128.279999  120.708298   7374400   0.000000
9    2019-01-15  128.520004  129.490005  127.650002  129.360001  121.724548   5194400   0.000000
10   2019-01-16  129.410004  129.410004  127.900002  128.039993  120.482460   6264200   0.000000
11   2019-01-17  127.709999  129.520004  127.459999  129.089996  121.470482   7632000   0.000000
12   2019-01-18  129.899994  131.179993  129.449997  130.690002  122.976036  10593000   0.000000
13   2019-01-22  128.199997  129.500000  127.010002  128.800003  121.197594  10568100   0.000000
14   2019-01-23  128.500000  129.300003  127.930000  128.800003  121.197594   9267800   0.000000
15   2019-01-24  128.490005  128.699997  125.000000  127.029999  119.532082   9917000   0.000000
16   2019-01-25  128.130005  128.449997  127.029999  128.229996  120.661247   7585100   0.000000
17   2019-01-28  127.809998  129.149994  127.290001  128.990005  121.376389   6927700   0.000000
18   2019-01-29  128.949997  130.470001  128.500000  130.330002  122.637291   6669300   0.000000
19   2019-01-30  130.369995  132.190002  130.300003  131.639999  123.869987   7299300   0.000000
20   2019-01-31  131.630005  135.190002  130.869995  133.080002  125.224991  17298100   0.000000
21   2019-02-01  134.020004  134.690002  133.470001  134.199997  126.278862   9575200   0.000000
22   2019-02-04  133.960007  134.149994  132.210007  132.880005  125.036774   7759000   0.000000
23   2019-02-05  133.520004  133.880005  132.750000  132.880005  125.036774   6449800   0.000000
24   2019-02-06  133.080002  133.570007  132.300003  133.000000  125.149704   5066100   0.000000
25   2019-02-07  132.449997  132.639999  131.529999  132.050003  124.255791   6085300   0.000000
26   2019-02-08  131.949997  132.460007  131.539993  132.399994  124.585091   4436700   0.526700
27   2019-02-11  132.309998  132.669998  131.259995  132.000000  124.208725   4962200   0.000000
28   2019-02-12  132.080002  134.300003  132.080002  134.160004  126.241226   6262300   0.000000
29   2019-02-13  134.070007  134.979996  133.210007  134.449997  126.514091   7902200   0.000000
30   2019-02-14  134.300003  134.820007  133.350006  134.309998  126.382370   3910400   0.000000
31   2019-02-15  135.190002  136.410004  135.009995  136.380005  128.330185   6665000   0.000000
32   2019-02-19  136.139999  136.380005  135.630005  135.690002  127.680908   5935500   0.000000
33   2019-02-20  135.970001  136.729996  135.729996  136.350006  128.301971   6089800   0.000000
34   2019-02-21  134.979996  135.789993  134.270004  135.419998  127.426872   6665500   0.000000
35   2019-02-22  135.289993  136.639999  134.820007  136.600006  128.537201   5223900   0.000000
36   2019-02-25  136.350006  137.490005  135.860001  136.199997  129.010818   6846600   0.440400
37   2019-02-26  136.440002  136.960007  136.050003  136.110001  128.925568   5106900   0.000000
38   2019-02-27  135.520004  136.250000  135.389999  135.869995  128.698227   4378100   0.000000
39   2019-02-28  135.949997  137.949997  135.690002  136.639999  129.427582  10133200   0.000000
40   2019-03-01  137.220001  138.610001  137.009995  138.350006  131.047348   5641600   0.000000
41   2019-03-04  138.850006  139.410004  137.509995  138.479996  131.170456   8377700   0.000000
42   2019-03-05  138.809998  139.139999  138.360001  138.770004  131.445175   6568900   0.000000
43   2019-03-06  139.470001  139.649994  138.600006  139.089996  131.748276   6236900   0.000000
44   2019-03-07  138.529999  139.119995  137.699997  138.240005  130.943146   6100400   0.000000
45   2019-03-08  138.089996  139.300003  136.419998  138.059998  130.772629   7046700   0.000000
46   2019-03-11  138.110001  139.029999  137.520004  138.559998  131.246246   6150400   0.000000
47   2019-03-12  138.649994  140.000000  138.500000  139.179993  131.833527   5552900   0.000000
48   2019-03-13  139.589996  139.839996  139.020004  139.410004  132.051376   6446900   0.000000
49   2019-03-14  138.339996  138.800003  137.940002  138.020004  130.734772   8493600   0.153100
50   2019-03-15  138.000000  138.259995  136.830002  137.600006  130.336914  11922500   0.000000
51   2019-03-18  137.649994  137.779999  136.720001  137.169998  129.929611   7369600   0.000000
52   2019-03-19  137.610001  138.820007  137.470001  138.440002  131.132599   5882500   0.000000
53   2019-03-20  138.330002  138.509995  136.649994  137.289993  130.043274   5475700   0.000000
54   2019-03-21  137.000000  138.779999  136.949997  138.100006  130.810516   5765100   0.000000
55   2019-03-22  137.750000  138.389999  136.860001  136.910004  129.683334   6528800   0.000000
56   2019-03-25  136.910004  137.009995  135.740005  136.610001  129.399185   4500300  -0.153100
57   2019-03-26  136.929993  139.270004  136.929993  138.570007  131.255707   4758600   0.000000
58   2019-03-27  138.589996  139.479996  138.070007  138.699997  131.378860   6764900  -0.612400
59   2019-03-28  139.059998  139.460007  138.710007  138.880005  131.549362   4602100   0.000000
60   2019-03-29  139.279999  139.880005  138.880005  139.789993  132.411301   7168400   0.000000
61   2019-04-01  139.990005  140.289993  138.740005  138.979996  131.644073   5885200   0.000000
62   2019-04-02  139.009995  139.009995  136.910004  137.710007  130.441116   5517800   0.000000
63   2019-04-03  138.199997  138.240005  136.869995  137.169998  129.929611   5947000   0.000000
64   2019-04-04  136.869995  137.009995  135.130005  135.570007  128.414078   5844600   0.000000
65   2019-04-05  136.039993  136.580002  135.699997  136.179993  128.991867   4759700   0.000000
66   2019-04-08  136.050003  136.509995  135.699997  136.139999  128.953979   4329600   0.000000
67   2019-04-09  136.000000  136.259995  134.559998  135.570007  128.414078   5210300   0.000000
68   2019-04-10  135.889999  136.130005  135.330002  135.580002  128.423553   4194100  -0.255150
69   2019-04-11  135.960007  136.179993  134.419998  135.210007  128.073074   4485200   0.000000
70   2019-04-12  135.220001  136.350006  134.750000  135.979996  128.802444   5756800   0.000000
71   2019-04-15  136.000000  136.789993  135.800003  136.520004  129.313934   5380900   0.000000
72   2019-04-16  138.320007  140.699997  137.559998  138.020004  130.734772  10745700   0.000000
73   2019-04-17  139.000000  140.149994  137.669998  138.520004  131.208359   9543700   0.000000
74   2019-04-18  139.350006  140.240005  135.750000  137.520004  130.261154  10485300   0.000000
75   2019-04-22  136.979996  138.490005  136.460007  137.830002  130.554794   4666500   0.000000
76   2019-04-23  137.419998  140.850006  137.250000  139.899994  132.515518   5790500   0.000000
77   2019-04-24  139.649994  140.139999  138.860001  139.199997  131.852478   5676300   0.000000
78   2019-04-25  138.520004  139.770004  137.960007  139.649994  132.278702   5218100   0.000000
79   2019-04-26  139.880005  140.520004  139.309998  140.389999  132.979660   4613600   0.000000
80   2019-04-29  140.350006  140.429993  139.580002  139.839996  132.458679   4275200   0.000000
81   2019-04-30  140.190002  141.449997  138.960007  141.199997  133.746872   6003700   0.000000
82   2019-05-01  140.949997  142.350006  139.750000  141.949997  134.457291   6656300   0.000000
83   2019-05-02  141.910004  142.149994  140.119995  141.279999  133.822662   8835600   0.000000
84   2019-05-03  141.289993  142.089996  141.080002  142.009995  134.514114   5281600   0.000000
85   2019-05-06  140.250000  142.240005  139.929993  142.089996  134.589920   5818900   0.000000
86   2019-05-07  140.820007  141.380005  139.059998  139.970001  132.581802   6606700   0.000000
87   2019-05-08  140.199997  140.919998  139.699997  139.789993  132.411301   4667300   0.000000
88   2019-05-09  138.949997  139.320007  137.639999  138.729996  131.407257   5604200   0.000000
