           Date        Open        High         Low       Close   Adj Close    Volume  Sentiment
0    2019-01-02   91.029999   91.389999   89.930000   91.279999   85.576164   9843900     0.3182
1    2019-01-03   90.940002   92.500000   90.379997   90.639999   84.976158   9820200     0.5106
2    2019-01-04   90.839996   92.489998   90.370003   92.489998   86.710548  10565700     0.0000
3    2019-01-07   91.910004   92.500000   91.400002   92.120003   86.363678   9012500     0.0000
4    2019-01-08   92.699997   93.089996   91.820000   92.459999   86.682419   9551300     0.0000
5    2019-01-09   92.690002   92.959999   90.809998   90.949997   85.266769  15015600     0.0000
6    2019-01-10   90.889999   91.540001   90.610001   91.169998   85.473038  11102300     0.0000
7    2019-01-11   91.669998   91.980003   91.110001   91.769997   86.035545   7166600     0.0000
8    2019-01-14   91.500000   91.910004   90.849998   91.150002   85.454269   7952000     0.0000
9    2019-01-15   91.150002   92.610001   91.139999   92.010002   86.260551   7834500     0.0000
10   2019-01-16   91.739998   92.150002   90.989998   91.370003   85.660538   7964500     0.0000
11   2019-01-17   90.709999   91.559998   90.349998   90.639999   85.648254   8044500     0.0000
12   2019-01-18   91.370003   91.839996   91.040001   91.419998   86.385292   9100300     0.0000
13   2019-01-22   91.389999   91.750000   89.080002   90.440002   85.459267  13518500     0.0000
14   2019-01-23   94.180000   96.410004   93.629997   94.839996   89.616943  22869000     0.0000
15   2019-01-24   94.290001   94.559998   93.190002   94.300003   89.106682  12146400     0.0000
16   2019-01-25   94.419998   94.889999   93.059998   93.599998   88.445236  10618000     0.0000
17   2019-01-28   93.320000   93.970001   92.970001   93.519997   88.369637   9765600     0.0000
18   2019-01-29   93.790001   94.120003   93.099998   93.540001   88.388542   9769800     0.0000
19   2019-01-30   93.610001   94.660004   93.570000   94.519997   89.314552   7750200     0.4588
20   2019-01-31   94.430000   96.809998   94.080002   96.470001   91.157181  16044400     0.0000
21   2019-02-01   96.349998   97.610001   95.989998   97.470001   92.102119  12720800     0.0000
22   2019-02-04   97.209999   98.220001   96.720001   98.029999   92.631264  11887500     0.0000
23   2019-02-05   97.989998   98.019997   97.209999   97.440002   92.073761   9772300     0.0000
24   2019-02-06   97.250000   98.320000   97.120003   97.919998   92.527321   8693900     0.0000
25   2019-02-07   97.519997   97.599998   96.339996   97.139999   91.790283   8732500     0.0000
26   2019-02-08   97.010002   97.720001   96.699997   97.709999   92.328888   7483200     0.0000
27   2019-02-11   97.489998   98.389999   97.430000   98.269997   92.858040   8494100     0.0000
28   2019-02-12   98.379997   99.339996   97.980003   99.260002   93.793533  11238800     0.0000
29   2019-02-13   99.290001   99.699997   99.010002   99.239998   93.774620  11587200     0.0000
30   2019-02-14   98.699997   98.820000   97.839996   98.459999   93.037575   7930100     0.0000
31   2019-02-15   98.949997   99.199997   98.250000   98.480003   93.056480  12069100     0.6705
32   2019-02-19   98.559998  100.000000   98.470001   99.989998   94.483322  10098200     0.0000
33   2019-02-20   99.779999  100.220001   98.940002   99.279999   93.812431   8947400     0.0000
34   2019-02-21   99.099998   99.860001   98.589996   99.779999   94.284882   7444800     0.0000
35   2019-02-22   99.690002  100.400002   99.400002  100.250000   94.729012   7925400     0.0000
36   2019-02-25  100.360001  100.449997   99.330002   99.570000   94.086449   7436100     0.0000
37   2019-02-26   99.839996  100.180000   99.629997   99.830002   94.332138   7115300     0.0000
38   2019-02-27   99.339996   99.629997   98.820000   98.910004   93.462799   6013600     0.0000
39   2019-02-28   98.910004   99.199997   98.080002   98.550003   93.122620  10575400     0.0000
40   2019-03-01   98.610001   98.779999   97.830002   98.440002   93.018684   7733200     0.0000
41   2019-03-04   98.570000   98.879997   97.879997   98.870003   93.425018   6895300     0.0000
42   2019-03-05   98.910004   99.680000   98.910004   99.089996   93.632881   6274600     0.0000
43   2019-03-06   98.860001   99.099998   98.400002   98.930000   93.481705   4622300     0.0000
44   2019-03-07   98.970001   99.599998   98.250000   98.550003   93.122620   8408600     0.0000
45   2019-03-08   98.820000   99.180000   97.750000   98.410004   92.990341   5144500     0.0000
46   2019-03-11   98.790001   99.680000   98.510002   99.580002   94.095909   7544400     0.0000
47   2019-03-12   99.779999  100.519997   99.730003  100.050003   94.540016   7597500     0.0000
