           Date        Open        High         Low       Close   Adj Close    Volume  Sentiment
0    2020-01-02  227.509995  228.389999  226.710007  228.389999  228.389999   3764000   0.000000
1    2020-01-03  225.690002  227.429993  225.479996  226.179993  226.179993   3023900   0.000000
2    2020-01-06  224.990005  227.130005  224.699997  226.990005  226.990005   4263000   0.000000
3    2020-01-07  227.259995  227.259995  225.440002  225.919998  225.919998   3517000   0.000000
4    2020-01-08  226.029999  227.839996  225.869995  225.990005  225.990005   3780300   0.000000
5    2020-01-09  226.919998  228.850006  226.919998  228.649994  228.649994   3497300   0.000000
6    2020-01-10  228.500000  228.529999  226.589996  226.619995  226.619995   2572900   0.000000
7    2020-01-13  227.050003  228.470001  226.130005  228.449997  228.449997   3286700   0.000000
8    2020-01-14  227.850006  228.389999  226.880005  227.169998  227.169998   3355400   0.000000
9    2020-01-15  226.800003  228.639999  226.779999  228.350006  228.350006   2662500   0.000000
10   2020-01-16  229.339996  230.029999  228.520004  229.729996  229.729996   3036400   0.000000
11   2020-01-17  230.130005  231.610001  229.550003  230.199997  230.199997   6603800   0.571900
12   2020-01-21  229.850006  231.130005  227.949997  228.630005  228.630005   5840700  -0.077200
13   2020-01-22  229.000000  230.380005  228.410004  229.539993  229.539993   3164300   0.000000
14   2020-01-23  229.429993  229.770004  227.350006  229.380005  229.380005   4750000  -0.153100
15   2020-01-24  229.399994  229.410004  226.039993  226.860001  226.860001   4022500   0.000000
16   2020-01-27  223.699997  223.899994  221.110001  222.449997  222.449997   5454000   0.000000
17   2020-01-28  223.440002  225.350006  223.160004  224.029999  224.029999   3609300   0.000000
18   2020-01-29  224.750000  226.399994  224.309998  224.500000  224.500000   2310400   0.000000
19   2020-01-30  223.110001  228.080002  222.479996  227.880005  227.880005   3350900  -0.296000
20   2020-01-31  226.490005  226.970001  223.429993  224.429993  224.429993   3948200  -0.374400
21   2020-02-03  225.479996  226.320007  223.000000  223.470001  223.470001   3525000   0.000000
22   2020-02-04  226.149994  226.940002  224.789993  225.080002  225.080002   3642600  -0.599400
23   2020-02-05  226.910004  228.679993  226.750000  228.649994  228.649994   3360500   0.000000
24   2020-02-06  229.559998  230.080002  228.529999  229.610001  229.610001   2799400   0.000000
25   2020-02-07  228.070007  228.619995  226.669998  227.380005  227.380005   2882800   0.000000
26   2020-02-10  227.169998  227.750000  225.130005  227.110001  227.110001   2944600   0.000000
27   2020-02-11  228.589996  228.589996  227.020004  227.330002  227.330002   2916400   0.000000
28   2020-02-12  227.600006  228.839996  226.910004  227.440002  227.440002   3785200   0.000000
29   2020-02-13  226.529999  227.399994  226.100006  226.470001  226.470001   2838500   0.000000
30   2020-02-14  226.490005  227.139999  225.520004  226.800003  226.800003   2506200   0.000000
31   2020-02-18  226.389999  227.380005  225.270004  226.770004  226.770004   3153000   0.128000
32   2020-02-19  227.679993  229.710007  226.929993  229.240005  229.240005   3187000   0.000000
33   2020-02-20  229.759995  229.789993  227.149994  228.169998  228.169998   3547700   0.000000
34   2020-02-21  227.529999  230.070007  226.979996  229.330002  229.330002   4699100   0.000000
35   2020-02-24  221.309998  223.940002  220.270004  221.690002  221.690002   7932400  -0.401900
36   2020-02-25  222.199997  223.240005  216.759995  218.050003  218.050003   8558600   0.361200
37   2020-02-26  219.649994  220.630005  215.940002  216.059998  216.059998   6901700   0.000000
38   2020-02-27  212.899994  214.380005  207.279999  207.669998  207.669998  10941800   0.000000
39   2020-02-28  201.919998  206.440002  199.679993  206.339996  206.339996  15147200   0.000000
40   2020-03-02  207.250000  218.800003  204.429993  217.630005  217.630005  10395800   0.000000
41   2020-03-03  217.389999  218.149994  206.199997  208.809998  208.809998  10716100   0.000000
42   2020-03-04  212.139999  218.339996  209.259995  217.860001  217.860001   7408700   0.000000
43   2020-03-05  212.550003  212.750000  207.009995  208.960007  208.960007   8112700   0.000000
44   2020-03-06  203.479996  207.410004  202.350006  205.979996  205.979996   9443500   0.318200
45   2020-03-09  195.000000  198.479996  192.259995  193.130005  193.130005  13950500   0.000000
46   2020-03-10  201.350006  202.860001  195.050003  202.729996  202.729996  10929200   0.000000
47   2020-03-11  197.320007  198.130005  192.869995  194.639999  194.639999   9573900   0.000000
48   2020-03-12  183.600006  187.669998  175.000000  175.970001  175.970001  22293800   0.000000
49   2020-03-13  187.449997  196.500000  178.410004  196.399994  196.399994  14859100  -0.624900
50   2020-03-16  174.000000  188.380005  173.619995  177.770004  177.770004  14168600   0.000000
51   2020-03-17  181.880005  187.809998  177.000000  187.600006  187.600006  15072400   0.000000
52   2020-03-18  177.289993  181.389999  167.000000  172.440002  172.440002  16669300   0.000000
53   2020-03-19  170.210007  176.179993  166.000000  174.679993  174.679993  12488100   0.000000
54   2020-03-20  176.300003  177.179993  167.289993  170.059998  170.059998  15213600   0.000000
55   2020-03-23  165.300003  166.690002  159.500000  162.130005  162.130005  16501500   0.000000
56   2020-03-24  170.910004  179.139999  169.529999  178.199997  178.199997  14075100   0.000000
57   2020-03-25  180.009995  189.070007  175.169998  180.470001  180.470001  13851200   0.000000
58   2020-03-26  181.289993  184.960007  179.589996  183.899994  183.899994  14131400   0.000000
59   2020-03-27  178.500000  184.240005  176.720001  179.660004  179.660004  10259500   0.000000
60   2020-03-30  180.039993  184.110001  178.000000  183.179993  183.179993   7672600   0.000000
61   2020-03-31  182.050003  186.169998  180.570007  182.830002  182.830002   8996800   0.000000
62   2020-04-01  176.179993  178.669998  174.190002  175.949997  175.949997   8682700   0.000000
63   2020-04-02  175.000000  180.309998  174.229996  179.729996  179.729996   7271900   0.000000
64   2020-04-03  178.589996  180.220001  175.440002  178.339996  178.339996   6643700   0.000000
65   2020-04-06  184.610001  186.410004  180.490005  185.240005  185.240005   9935500   0.000000
66   2020-04-07  191.990005  192.000000  184.899994  185.250000  185.250000   8148200   0.000000
67   2020-04-08  187.550003  191.419998  185.139999  191.009995  191.009995   6109900   0.000000
68   2020-04-09  194.000000  197.229996  191.449997  193.839996  193.839996  10519600   0.000000
69   2020-04-13  193.850006  193.850006  186.080002  188.770004  188.770004   7888600   0.000000
70   2020-04-14  193.320007  194.160004  190.820007  192.940002  192.940002   7032000   0.000000
71   2020-04-15  188.559998  189.589996  187.470001  188.570007  188.570007   6138300   0.000000
72   2020-04-16  188.899994  188.990005  185.800003  187.960007  187.960007   6228200   0.237700
73   2020-04-17  192.889999  192.899994  189.020004  191.199997  191.199997   8272200   0.000000
74   2020-04-20  188.720001  189.350006  187.300003  188.750000  188.750000   6474700   0.000000
75   2020-04-21  184.169998  185.779999  183.279999  183.479996  183.479996   5882500   0.000000
76   2020-04-22  186.460007  187.369995  185.339996  186.580002  186.580002   5470000   0.000000
77   2020-04-23  186.990005  187.350006  184.500000  185.630005  185.630005   6211900   0.000000
78   2020-04-24  187.080002  187.279999  184.419998  186.520004  186.520004   5205500   0.000000
79   2020-04-27  187.779999  189.369995  186.350006  187.460007  187.460007   6622400   0.000000
80   2020-04-28  190.539993  191.000000  187.000000  187.119995  187.119995   6674600  -0.557400
81   2020-04-29  190.639999  192.679993  188.929993  189.610001  189.610001   7645000   0.000000
82   2020-04-30  188.300003  189.869995  186.710007  187.360001  187.360001   8217800   0.000000
83   2020-05-01  185.210007  185.889999  181.639999  182.669998  182.669998   7513700   0.000000
84   2020-05-04  179.779999  180.360001  176.339996  177.949997  177.949997   9448600  -0.200950
85   2020-05-05  180.050003  180.229996  175.929993  176.029999  176.029999   9016300  -0.552000
86   2020-05-06  176.940002  177.039993  172.339996  172.380005  172.380005   9003000   0.000000
87   2020-05-07  173.399994  175.380005  173.050003  173.479996  173.479996   6698000   0.000000
88   2020-05-08  176.710007  177.259995  174.279999  176.830002  176.830002   5793600  -0.223500
89   2020-05-11  175.229996  175.960007  173.610001  174.639999  174.639999   9235700   0.000000
90   2020-05-12  175.199997  175.710007  172.729996  172.809998  172.809998   6470900   0.000000
91   2020-05-13  172.000000  172.610001  169.440002  170.570007  170.570007  10258900   0.000000
92   2020-05-14  168.800003  171.399994  167.039993  170.929993  170.929993   7013600   0.000000
93   2020-05-15  169.820007  170.660004  168.520004  169.250000  169.250000   5937500   0.000000
94   2020-05-18  174.000000  176.869995  172.309998  175.460007  175.460007   7458900   0.000000
95   2020-05-19  174.119995  174.869995  172.339996  172.490005  172.490005   5574800   0.000000
96   2020-05-20  174.610001  176.869995  174.289993  176.020004  176.020004   5455600   0.000000
97   2020-05-21  175.740005  176.649994  174.470001  174.940002  174.940002   4059900   0.475400
98   2020-05-22  174.860001  175.119995  173.210007  174.929993  174.929993   3584800   0.000000
99   2020-05-26  179.990005  181.690002  178.679993  180.339996  180.339996   7107600   0.000000
100  2020-05-27  184.669998  185.979996  183.800003  185.770004  185.770004   7410500   0.000000
101  2020-05-28  187.240005  187.279999  183.919998  185.100006  185.100006   6313100  -0.381800
102  2020-05-29  183.080002  185.869995  182.529999  185.580002  185.580002  10630200   0.000000
103  2020-06-01  185.529999  185.710007  183.190002  183.839996  183.839996   5718800   0.000000
104  2020-06-02  183.990005  186.440002  183.990005  185.940002  185.940002   5803000   0.000000
105  2020-06-03  188.750000  191.619995  187.809998  190.820007  190.820007   6706700   0.000000
106  2020-06-04  190.410004  192.110001  189.690002  192.050003  192.050003   5809800   0.000000
107  2020-06-05  197.880005  201.490005  196.220001  200.660004  200.660004  10390400   0.000000
108  2020-06-08  202.339996  203.330002  199.559998  201.559998  201.559998   6695100   0.000000
109  2020-06-09  197.149994  198.789993  195.830002  196.070007  196.070007   7711800   0.000000
110  2020-06-10  195.850006  196.339996  191.369995  191.509995  191.509995   7337400   0.000000
111  2020-06-11  185.000000  186.929993  177.929993  178.020004  178.020004  15372400   0.000000
112  2020-06-12  184.020004  184.020004  178.220001  181.210007  181.210007   9476800   0.000000
113  2020-06-15  177.000000  181.770004  176.050003  181.550003  181.550003   8105200   0.000000
114  2020-06-16  186.550003  186.699997  179.750000  182.300003  182.300003   9407600   0.000000
115  2020-06-17  183.029999  183.149994  180.110001  180.860001  180.860001   6448500   0.000000
116  2020-06-18  179.899994  181.360001  179.039993  180.729996  180.729996   4920900   0.000000
117  2020-06-19  183.500000  183.880005  179.009995  179.720001  179.720001   8767900   0.000000
118  2020-06-22  179.550003  181.800003  178.869995  180.169998  180.169998   5816900   0.000000
119  2020-06-23  181.869995  182.389999  180.399994  181.009995  181.009995   6378100   0.000000
120  2020-06-24  179.610001  179.649994  177.259995  177.529999  177.529999   8081200   0.000000
121  2020-06-25  176.580002  179.720001  176.059998  178.850006  178.850006   6380000   0.000000
122  2020-06-26  176.710007  178.699997  174.630005  175.369995  175.369995  14772100   0.000000
123  2020-06-29  175.899994  177.220001  175.330002  177.190002  177.190002   5218200   0.000000
124  2020-06-30  176.750000  179.119995  176.509995  178.509995  178.509995   6763800   0.000000
125  2020-07-01  178.410004  180.449997  177.339996  177.990005  177.990005   4619800   0.000000
126  2020-07-02  180.449997  180.940002  178.240005  178.830002  178.830002   5163100   0.000000
127  2020-07-06  183.100006  183.520004  181.589996  182.720001  182.720001   6443300   0.083333
128  2020-07-07  182.020004  182.490005  180.600006  181.149994  181.149994   4952100   0.000000
129  2020-07-08  180.419998  182.309998  179.770004  181.199997  181.199997   5547800   0.410100
130  2020-07-09  181.789993  181.880005  177.770004  178.800003  178.800003   5420600   0.000000
131  2020-07-10  178.259995  182.960007  178.089996  182.899994  182.899994   5482300   0.000000
132  2020-07-13  183.809998  185.820007  183.309998  184.130005  184.130005   7885600   0.000000
133  2020-07-14  182.419998  190.080002  182.419998  189.710007  189.710007  14683400  -0.735100
134  2020-07-15  192.639999  193.050003  188.750000  190.559998  190.559998   7558200   0.000000
135  2020-07-16  188.320007  191.929993  188.320007  191.009995  191.009995   4771300   0.000000
136  2020-07-17  191.770004  192.119995  190.470001  190.759995  190.759995   5186800   0.000000
137  2020-07-20  190.020004  191.229996  189.479996  190.479996  190.479996   4089400  -0.278700
138  2020-07-21  190.399994  193.449997  190.399994  192.270004  192.270004   5256300   0.000000
139  2020-07-22  191.779999  192.240005  190.630005  192.100006  192.100006   4182700   0.000000
140  2020-07-23  191.710007  193.389999  191.479996  193.250000  193.250000   6036800   0.000000
141  2020-07-24  193.250000  196.279999  193.050003  194.520004  194.520004   5140800   0.000000
142  2020-07-27  193.830002  193.990005  191.770004  192.139999  192.139999   4309100   0.000000
143  2020-07-28  190.899994  194.460007  190.610001  194.119995  194.119995   4412300   0.000000
144  2020-07-29  194.029999  196.669998  193.729996  196.410004  196.410004   4067300   0.000000
145  2020-07-30  193.429993  194.570007  192.250000  194.300003  194.300003   4819600   0.000000
146  2020-07-31  195.059998  196.000000  193.330002  195.779999  195.779999   5936500   0.000000
147  2020-08-03  197.279999  200.679993  196.000000  199.259995  199.259995   6251000   0.000000
148  2020-08-04  198.970001  200.309998  198.110001  200.240005  200.240005   3838800   0.000000
149  2020-08-05  201.440002  204.690002  201.000000  203.619995  203.619995   5184500   0.000000
150  2020-08-06  203.000000  205.389999  202.699997  205.020004  205.020004   3380700   0.000000
151  2020-08-07  204.199997  209.750000  204.000000  209.479996  209.479996   6186000   0.000000
152  2020-08-10  211.339996  212.919998  209.399994  212.580002  212.580002   6633800   0.000000
153  2020-08-11  214.740005  215.600006  212.240005  212.660004  212.660004   5688200   0.000000
154  2020-08-12  213.100006  214.389999  212.309998  213.240005  213.240005   4791900   0.000000
155  2020-08-13  212.929993  213.330002  211.660004  211.979996  211.979996   4535600   0.000000
156  2020-08-14  211.039993  211.970001  210.250000  210.960007  210.960007   3441500   0.000000
157  2020-08-17  210.050003  210.820007  206.339996  206.779999  206.779999   5484400   0.000000
158  2020-08-18  206.949997  209.759995  206.800003  208.330002  208.330002   3500100   0.000000
159  2020-08-19  209.190002  210.210007  206.660004  207.210007  207.210007   5829000   0.025800
160  2020-08-20  205.169998  206.789993  204.509995  206.119995  206.119995   4133800   0.000000
161  2020-08-21  205.520004  208.399994  205.520004  207.429993  207.429993   4785300  -0.296000
162  2020-08-24  209.229996  213.300003  208.910004  212.610001  212.610001   5039500   0.000000
163  2020-08-25  213.559998  214.000000  212.850006  213.350006  213.350006   3675900   0.000000
164  2020-08-26  212.979996  215.830002  212.300003  214.660004  214.660004   4639000   0.000000
165  2020-08-27  214.990005  217.979996  214.759995  216.869995  216.869995   4814200   0.000000
166  2020-08-28  217.509995  218.809998  215.729996  218.550003  218.550003   4290400   0.000000
167  2020-08-31  218.619995  219.449997  217.649994  218.039993  218.039993   6131900   0.000000
168  2020-09-01  216.919998  218.589996  216.619995  218.550003  218.550003   4134300   0.000000
169  2020-09-02  218.130005  222.089996  218.130005  221.679993  221.679993   5493900   0.000000
170  2020-09-03  222.000000  223.240005  216.429993  218.149994  218.149994   7084700   0.000000
171  2020-09-04  219.949997  221.479996  215.059998  218.320007  218.320007   6041400   0.000000
172  2020-09-08  217.279999  219.190002  215.339996  217.800003  217.800003   7001200   0.000000
173  2020-09-09  218.949997  221.619995  218.520004  219.630005  219.630005   5417000   0.000000
174  2020-09-10  220.539993  220.679993  217.149994  217.800003  217.800003   3837300   0.000000
175  2020-09-11  218.000000  219.270004  216.919998  217.929993  217.929993   3437100   0.000000
176  2020-09-14  219.000000  221.320007  218.300003  219.940002  219.940002   4068800   0.000000
177  2020-09-15  220.080002  221.570007  218.449997  218.940002  218.940002   3855800   0.000000
