           Date         Open         High          Low        Close    Adj Close   Volume  Sentiment
0    2020-01-02  1341.550049  1368.140015  1341.550049  1367.369995  1367.369995  1406600   0.000000
1    2020-01-03  1347.859985  1372.500000  1345.543945  1360.660034  1360.660034  1186400   0.000000
2    2020-01-06  1350.000000  1396.500000  1350.000000  1394.209961  1394.209961  1732300   0.158900
3    2020-01-07  1397.939941  1402.989990  1390.380005  1393.339966  1393.339966  1502700   0.000000
4    2020-01-08  1392.079956  1411.579956  1390.839966  1404.319946  1404.319946  1528000   0.000000
5    2020-01-09  1420.569946  1427.329956  1410.270020  1419.829956  1419.829956  1500900   0.000000
6    2020-01-10  1427.560059  1434.928955  1418.349976  1429.729980  1429.729980  1820700   0.029100
7    2020-01-13  1436.130005  1440.520020  1426.020020  1439.229980  1439.229980  1652300   0.000000
8    2020-01-14  1439.010010  1441.800049  1428.369995  1430.880005  1430.880005  1558900   0.000000
9    2020-01-15  1430.209961  1441.395020  1430.209961  1439.199951  1439.199951  1282700   0.000000
10   2020-01-16  1447.439941  1451.989990  1440.920044  1451.699951  1451.699951  1173700   0.381800
11   2020-01-17  1462.910034  1481.295044  1458.219971  1480.390015  1480.390015  2396200   0.025800
12   2020-01-21  1479.119995  1491.849976  1471.199951  1484.400024  1484.400024  2036700   0.000000
13   2020-01-22  1491.000000  1503.213989  1484.930054  1485.949951  1485.949951  1610800   0.159225
14   2020-01-23  1487.640015  1495.520020  1482.099976  1486.650024  1486.650024  1351200   0.000000
15   2020-01-24  1493.589966  1495.494995  1465.250000  1466.709961  1466.709961  1784600  -0.051350
16   2020-01-27  1431.000000  1438.069946  1421.199951  1433.900024  1433.900024  1755200   0.000000
17   2020-01-28  1443.000000  1456.000000  1432.469971  1452.560059  1452.560059  1577400   0.000000
18   2020-01-29  1458.800049  1465.430054  1446.739990  1458.630005  1458.630005  1077700   0.000000
19   2020-01-30  1439.959961  1457.280029  1436.400024  1455.839966  1455.839966  1339400   0.000000
20   2020-01-31  1468.900024  1470.130005  1428.530029  1434.229980  1434.229980  2417200   0.000000
21   2020-02-03  1462.000000  1490.000000  1458.989990  1485.939941  1485.939941  3036800  -0.059050
22   2020-02-04  1457.069946  1469.500000  1426.300049  1447.069946  1447.069946  3933000   0.265750
23   2020-02-05  1462.420044  1463.839966  1430.560059  1448.229980  1448.229980  1986200   0.827100
24   2020-02-06  1450.329956  1482.000000  1449.569946  1476.229980  1476.229980  1679400   0.238967
25   2020-02-07  1467.300049  1485.839966  1466.349976  1479.229980  1479.229980  1172300  -0.636900
26   2020-02-10  1474.319946  1509.500000  1474.319946  1508.680054  1508.680054  1419900   0.418950
