           Date        Open        High         Low       Close   Adj Close    Volume  Sentiment
0    2020-01-02  118.860001  119.889999  118.699997  118.940002  116.044952   6764900   0.000000
1    2020-01-03  118.269997  118.790001  117.589996  117.889999  115.020508   5399200   0.000000
2    2020-01-06  117.400002  118.089996  116.769997  117.650002  114.786362   6445500   0.000000
3    2020-01-07  117.260002  117.519997  116.199997  116.559998  113.722878   6846900   0.000000
4    2020-01-08  116.300003  116.730003  115.680000  116.160004  113.332619   5875800   0.000000
5    2020-01-09  116.150002  117.370003  116.080002  117.360001  114.503403   5563700   0.000000
6    2020-01-10  117.239998  117.339996  115.980003  116.379997  113.547264   6054800   0.000000
7    2020-01-13  116.379997  116.550003  115.370003  115.879997  113.059433   6112600   0.202300
8    2020-01-14  115.470001  116.209999  115.129997  116.180000  113.352127   6585800   0.000000
9    2020-01-15  114.629997  115.870003  114.519997  115.279999  112.474037   7454200   0.000000
10   2020-01-16  115.500000  115.930000  115.279999  115.900002  113.078941   5369400  -0.309750
11   2020-01-17  116.050003  116.300003  114.639999  114.959999  112.161827  10045000   0.340000
12   2020-01-21  114.589996  115.690002  114.519997  115.589996  112.776489   7353700  -0.038600
13   2020-01-22  115.220001  116.529999  115.180000  116.099998  113.274063   4926100   0.206800
14   2020-01-23  116.209999  116.309998  115.040001  115.809998  112.991127   4305100   0.000000
15   2020-01-24  116.000000  116.029999  114.150002  114.370003  111.586182   4383400  -0.670500
16   2020-01-27  113.190002  116.230003  112.680000  115.860001  113.039917   7018400   0.000000
17   2020-01-28  115.980003  116.900002  115.949997  116.599998  113.761909   5270200   0.000000
18   2020-01-29  116.559998  117.120003  115.889999  115.889999  113.069183   3775500   0.209867
19   2020-01-30  115.610001  116.720001  115.330002  116.580002  113.742393   4581500   0.080567
20   2020-01-31  115.800003  116.260002  113.900002  114.489998  111.703255   7775800  -0.318200
21   2020-02-03  114.900002  115.389999  114.099998  114.269997  111.488617   4347100   0.210750
22   2020-02-04  115.239998  116.239998  114.889999  115.269997  112.464279   5232200   0.000000
23   2020-02-05  115.599998  116.949997  114.849998  116.809998  113.966797   5682900   0.000000
24   2020-02-06  116.830002  117.230003  116.059998  116.309998  113.478973   5352900  -0.851900
25   2020-02-07  116.110001  116.760002  115.760002  116.449997  113.615555   3689600   0.000000
26   2020-02-10  115.750000  116.980003  115.050003  115.250000  112.444763   6144900  -0.200950
27   2020-02-11  115.430000  115.500000  114.440002  115.400002  112.591118   5796800   0.421500
28   2020-02-12  115.500000  116.419998  115.410004  115.849998  113.030167   4735600   0.000000
29   2020-02-13  115.849998  117.540001  115.580002  117.440002  114.581459   5333200  -0.659700
30   2020-02-14  117.669998  118.570000  117.160004  117.889999  115.020508   8130600   0.000000
31   2020-02-18  118.470001  119.949997  117.360001  119.629997  116.718155  11513200   0.187700
32   2020-02-19  119.500000  119.940002  117.680000  117.680000  114.815613   7187800   0.654200
33   2020-02-20  117.209999  118.110001  116.860001  117.690002  114.825378   5022900   0.202300
34   2020-02-21  117.440002  118.750000  117.309998  118.580002  115.693718   6242100   0.000000
35   2020-02-24  117.459999  118.459999  115.949997  116.320000  113.488724   6616000   0.000000
36   2020-02-25  116.349998  117.070000  114.050003  114.389999  111.605698   7764300   0.000000
37   2020-02-26  114.699997  115.169998  113.650002  113.779999  111.010551   6673300   0.000000
38   2020-02-27  112.559998  114.070000  110.349998  110.400002  107.712822   9492300   0.088950
39   2020-02-28  107.690002  108.519997  104.370003  107.680000  105.059036  17456400   0.000000
40   2020-03-02  107.599998  116.400002  107.290001  115.879997  113.059433  17074200   0.000000
41   2020-03-03  116.080002  117.529999  112.339996  112.910004  110.161728  11113600   0.000000
42   2020-03-04  114.239998  116.839996  113.470001  116.769997  113.927765   8208400   0.000000
43   2020-03-05  114.400002  117.250000  113.910004  115.919998  113.098465   8546100  -0.065067
44   2020-03-06  113.870003  117.910004  113.010002  117.230003  114.376579   9803700   0.616400
45   2020-03-09  113.820000  120.629997  112.730003  117.160004  114.308281  19747800  -0.765000
46   2020-03-10  118.099998  120.680000  114.919998  119.790001  116.874260  12599100   0.000000
47   2020-03-11  117.510002  119.029999  112.800003  114.430000  111.644730  10540000  -0.246825
48   2020-03-12  106.019997  111.489998  102.980003  104.050003  101.517387  18774400  -0.381800
